code	term
1324.3.1.6.1	directora de distribución de equipos y maquinaria agrícolas
1324.3.1.6.1	director de distribución de equipos y maquinaria agrícolas
1324.3.1.6.1	director de distribución de equipos y maquinaria agrÍicolas
1324.3.1.6.20	directora de distribución de maquinaria, equipos industriales, buques y aeronaves
1324.3.1.6.20	director de distribución de maquinaria, equipos industriales, buques y aeronaves
1324.3.1.6.20	responsable de distribución de maquinaria, equipos industriales, buques y aeronaves
1324.3.1.6.21	directora de distribución de carne y productos cárnicos
1324.3.1.6.21	director de distribución de carne y productos cárnicos
1324.3.1.6.21	responsable de distribución de carne y productos cárnicos
1324.3.1.6.22	directora de distribución de metales y minerales metálicos
1324.3.1.6.22	director de distribución de metales y minerales metálicos
1324.3.1.6.22	responsable de distribución de metales y minerales metálicos
1324.3.1.6.23	directora de distribución de maquinaria para minería, construcción y obras públicas
1324.3.1.6.23	director de distribución de maquinaria para minería, construcción y obras públicas
1324.3.1.6.23	responsable de distribución de maquinaria para minería, construcción y obras públicas
1324.3.1.6.24	directora de distribución de perfumería y cosmética
1324.3.1.6.24	director de distribución de perfumería y cosmética
1324.3.1.6.24	responsable de distribución de perfumería y cosmética
1324.3.1.6.25	directora de distribución de productos farmacéuticos
1324.3.1.6.25	director de distribución de productos farmacéuticos
1324.3.1.6.25	responsable de distribución de productos farmacéuticos
1324.3.1.6.26	directora de distribución de azúcar, chocolate y productos de confitería
1324.3.1.6.26	director de distribución de azúcar, chocolate y productos de confitería
1324.3.1.6.26	irector de distribución de azúcar, chocolate y productos de confitería
1324.3.1.6.26	responsable de distribución de azúcar, chocolate y productos de confitería
1324.3.1.6.27	directora de distribución de maquinaria textil
1324.3.1.6.27	director de distribución de maquinaria textil
1324.3.1.6.27	responsable de distribución de maquinaria textil
1324.3.1.6.28	directora de distribución de textiles, productos textiles semielaborados y materias primas textiles
1324.3.1.6.28	director de distribución de textiles, productos textiles semielaborados y materias primas textiles
1324.3.1.6.28	responsable de distribución de textiles, productos textiles semielaborados y materias primas textiles
1324.3.1.6.29	directora de distribución de productos del tabaco
1324.3.1.6.29	director de distribución de productos del tabaco
1324.3.1.6.29	responsable de distribución de productos del tabaco
1324.3.1.6.2	directora de distribución de materias primas agrícolas, semillas y piensos
1324.3.1.6.2	director de distribución de materias primas agrícolas, semillas y piensos
1324.3.1.6.2	responsable de distribución de materias primas agrícolas, semillas y piensos
1324.3.1.6.30	directora de distribución de residuos y chatarra
1324.3.1.6.30	director de distribución de residuos y chatarra
1324.3.1.6.30	responsable de distribución de residuos y chatarra
1324.3.1.6.31	directora de distribución de joyería y relojería
1324.3.1.6.31	director de distribución de joyería y relojería
1324.3.1.6.31	responsable de distribución de joyería y relojería
1324.3.1.6.32	directora de distribución de madera y materiales de construcción
1324.3.1.6.32	director de distribución de madera y materiales de construcción
1324.3.1.6.32	responsable de distribución de madera y materiales de construcción
1324.3.1.6.3	directora de distribución de bebidas
1324.3.1.6.3	director de distribución de bebidas
1324.3.1.6.4	directora de distribución de productos químicos
1324.3.1.6.4	director de distribución de productos químicos
1324.3.1.6.5	directora de distribución de manufacturas de porcelana y vidrio
1324.3.1.6.5	director de distribución de manufacturas de porcelana y vidrio
1324.3.1.6.6	directora de distribución de ropa
1324.3.1.6.6	director de distribución de prendas de vestir
1324.3.1.6.6	director de distribución de ropa
1324.3.1.6.7	directora de distribución de café, té, cacao y especias
1324.3.1.6.7	director de distribución de café, té, cacao y especias
1324.3.1.6.7	responsable de distribución de café, té, cacao y especias
1324.3.1.6.8	
1324.3.1.6.8	directora de distribución de ordenadores, periféricos y software
1324.3.1.6.8	director de distribución de ordenadores, periféricos y software
1324.3.1.6.8	responsable de distribución de ordenadores, periféricos y software
1324.3.1.6.9	directora de distribución de productos lácteos y aceites comestibles
1324.3.1.6.9	directora de distribución de productos lácteos y aceites comstibles
1324.3.1.6.9	director de distribución de productos lácteos y aceites comestibles
1324.3.1.6.9	responsable de distribución de productos lácteos y aceites comstibles
1324.3.1.6	directora de distribución de mercancías especializadas
